day,year,mo,da,crime_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,NUM_CRIMES
7,2017,01,01,2017-01-01,27.4,18.8,1018.0,9.5,4.5,11.1,15.9,39.9,18.0,0.0,999.9,1204
1,2017,01,02,2017-01-02,34.0,27.9,1020.0,7.2,5.2,8.0,999.9,39.9,17.1,0.0,999.9,613
2,2017,01,03,2017-01-03,38.2,36.9,1010.5,2.4,5.9,18.1,22.9,39.9,25.2,0.11,999.9,718
3,2017,01,04,2017-01-04,18.2,9.0,1015.7,9.7,14.9,18.1,28.0,39.0,9.0,0.0,999.9,612
4,2017,01,05,2017-01-05,9.3,-1.5,1018.4,9.9,11.5,17.1,19.0,19.0,6.1,0.0,999.9,611
5,2017,01,06,2017-01-06,4.4,-6.4,1023.4,10.0,10.2,14.0,999.9,12.9,0.0,0.0,999.9,601
6,2017,01,07,2017-01-07,6.5,-4.8,1032.5,10.0,8.0,14.0,22.0,18.0,0.0,0.0,999.9,618
7,2017,01,08,2017-01-08,9.2,-4.2,1038.7,10.0,8.2,13.0,21.0,18.0,0.0,0.0,999.9,591
1,2017,01,09,2017-01-09,21.5,10.5,1027.9,9.7,11.1,17.1,21.0,28.0,3.0,0.0,999.9,713
2,2017,01,10,2017-01-10,37.5,32.2,1007.7,8.5,18.0,31.1,46.0,51.8,27.0,0.03,999.9,705
3,2017,01,11,2017-01-11,31.6,26.3,1010.9,8.3,12.1,27.0,39.0,51.1,25.0,0.19,999.9,663
4,2017,01,12,2017-01-12,26.1,23.2,1015.9,6.0,10.9,19.0,21.0,43.0,21.0,0.33,999.9,644
5,2017,01,13,2017-01-13,19.9,9.7,1037.4,10.0,8.5,11.1,999.9,28.0,16.0,0.05,999.9,799
6,2017,01,14,2017-01-14,28.9,19.3,1034.4,9.9,4.9,8.9,999.9,35.1,16.0,0.0,999.9,685
7,2017,01,15,2017-01-15,26.0,17.5,1030.7,9.6,2.4,6.0,999.9,36.0,19.9,0.0,999.9,656
1,2017,01,16,2017-01-16,32.6,28.2,1025.1,5.7,3.7,8.9,999.9,36.0,19.9,0.04,999.9,652
2,2017,01,17,2017-01-17,37.2,36.2,1012.6,4.2,7.4,11.1,999.9,39.0,30.2,1.34,999.9,705
3,2017,01,18,2017-01-18,34.7,32.9,1018.3,5.1,9.2,13.0,19.0,39.0,33.1,0.48,999.9,707
4,2017,01,19,2017-01-19,35.8,33.4,1015.8,4.2,5.7,8.9,15.0,42.8,30.0,0.0,999.9,738
5,2017,01,20,2017-01-20,39.0,37.6,1005.5,2.7,6.2,9.9,999.9,42.1,30.2,0.61,999.9,783
6,2017,01,21,2017-01-21,48.2,44.3,1000.4,4.6,7.2,14.0,20.0,59.0,37.9,0.03,999.9,786
7,2017,01,22,2017-01-22,42.8,39.6,1002.6,6.7,4.2,8.0,999.9,59.0,37.9,0.0,999.9,742
1,2017,01,23,2017-01-23,39.4,36.1,1006.5,8.3,7.9,12.0,18.1,46.0,37.0,0.01,999.9,789
2,2017,01,24,2017-01-24,36.6,32.7,1010.8,9.9,5.7,8.9,999.9,42.1,34.0,0.0,999.9,736
3,2017,01,25,2017-01-25,37.2,34.3,1005.3,5.2,9.6,17.1,22.9,42.1,35.1,0.05,999.9,748
4,2017,01,26,2017-01-26,33.2,29.6,1006.0,8.4,11.3,17.1,21.0,42.1,30.0,0.04,999.9,674
5,2017,01,27,2017-01-27,27.8,20.6,1012.7,9.8,12.4,17.1,24.1,34.0,24.1,0.0,999.9,784
6,2017,01,28,2017-01-28,26.7,20.2,1009.0,9.2,11.0,15.0,24.1,30.9,24.1,0.0,999.9,731
7,2017,01,29,2017-01-29,26.8,16.5,1010.2,9.2,8.9,15.0,24.1,28.9,24.1,0.0,999.9,634
1,2017,01,30,2017-01-30,22.1,9.7,1014.0,10.0,8.5,15.0,999.9,30.0,15.1,0.0,999.9,756
2,2017,01,31,2017-01-31,36.0,29.3,1004.7,9.6,13.6,21.0,27.0,39.0,15.1,0.04,999.9,734
3,2017,02,01,2017-02-01,34.6,25.7,1015.8,9.7,10.6,15.9,24.1,39.0,30.0,0.03,999.9,847
4,2017,02,02,2017-02-02,20.6,6.9,1027.1,10.0,12.1,17.1,24.1,37.9,14.0,0.0,999.9,671
5,2017,02,03,2017-02-03,19.1,3.5,1030.6,10.0,10.6,15.0,22.9,28.0,14.0,0.0,999.9,670
6,2017,02,04,2017-02-04,21.6,5.5,1028.0,10.0,8.6,17.1,24.1,33.1,10.0,0.0,999.9,638
7,2017,02,05,2017-02-05,32.7,17.2,1014.5,10.0,11.0,20.0,27.0,37.9,12.0,0.0,999.9,695
1,2017,02,06,2017-02-06,33.5,26.3,1015.4,9.0,4.9,11.1,999.9,55.0,21.0,0.0,999.9,762
2,2017,02,07,2017-02-07,43.8,43.1,998.7,2.8,6.4,17.1,28.9,50.0,41.0,0.24,999.9,693
3,2017,02,08,2017-02-08,30.7,23.1,1011.0,8.9,10.6,15.9,27.0,50.0,25.0,0.23,999.9,666
4,2017,02,09,2017-02-09,19.0,4.2,1023.3,10.0,11.3,15.0,21.0,32.0,12.9,0.0,999.9,668
5,2017,02,10,2017-02-10,25.7,13.5,1018.6,10.0,12.0,24.1,29.9,39.9,12.9,0.0,999.9,745
