CRIME_DATE,OFFENSE,LOCATION
2017-06-17,INTERFERENCE WITH PUBLIC OFFICER,POLICE FACILITY/VEH PARKING LOT
2017-10-27,INTERFERENCE WITH PUBLIC OFFICER,POLICE FACILITY/VEH PARKING LOT
2018-06-15,HOMICIDE,HOUSE
2018-07-04,CRIM SEXUAL ASSAULT,ABANDONED BUILDING
2017-07-02,SEX OFFENSE,VEHICLE - OTHER RIDE SERVICE
2018-04-24,CRIM SEXUAL ASSAULT,HOTEL/MOTEL
2020-01-14,ARSON,VACANT LOT / LAND
2017-02-14,CRIM SEXUAL ASSAULT,HOSPITAL BUILDING/GROUNDS
2017-03-25,HUMAN TRAFFICKING,HOSPITAL BUILDING/GROUNDS
2019-05-26,HOMICIDE,CHA PARKING LOT
2020-09-21,CRIMINAL SEXUAL ASSAULT,HOTEL / MOTEL
2019-01-13,INTERFERENCE WITH PUBLIC OFFICER,ABANDONED BUILDING
2017-05-10,INTERFERENCE WITH PUBLIC OFFICER,ABANDONED BUILDING
2017-02-14,ARSON,VACANT LOT/LAND
2020-03-16,INTERFERENCE WITH PUBLIC OFFICER,RESIDENCE - PORCH / HALLWAY
2017-08-07,CONCEALED CARRY LICENSE VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA
2019-11-24,CONCEALED CARRY LICENSE VIOLATION,SPORTS ARENA/STADIUM
2018-12-20,SEX OFFENSE,ABANDONED BUILDING
2019-10-05,LIQUOR LAW VIOLATION,TAVERN/LIQUOR STORE
2018-08-31,CONCEALED CARRY LICENSE VIOLATION,AIRPORT EXTERIOR - SECURE AREA
2017-11-04,HOMICIDE,NOT IDENTIFIED
2017-12-08,CRIM SEXUAL ASSAULT,HOSPITAL BUILDING/GROUNDS
2020-10-27,ARSON,RESIDENCE - GARAGE
2020-01-03,HOMICIDE,NURSING HOME
2020-09-18,HOMICIDE,NOT IDENTIFIED
2017-09-02,INTERFERENCE WITH PUBLIC OFFICER,ABANDONED BUILDING
2020-08-19,CRIMINAL SEXUAL ASSAULT,HOSPITAL BUILDING / GROUNDS
2020-02-11,SEX OFFENSE,SCHOOL - PUBLIC BUILDING
2019-08-02,HOMICIDE,TRAILER
2017-04-15,SEX OFFENSE,HOTEL/MOTEL
2020-04-24,HOMICIDE,YARD
