YEAR,OFFENSE,NUM_OF_OFFENSES
February 2017,INTERFERENCE WITH PUBLIC OFFICER,1
February 2017,PUBLIC INDECENCY,1
February 2017,INTIMIDATION,2
February 2017,ARSON,2
February 2017,SEX OFFENSE,2
February 2017,CRIMINAL SEXUAL ASSAULT,4
February 2017,LIQUOR LAW VIOLATION,5
February 2017,HOMICIDE,10
February 2018,STALKING,1
February 2018,CONCEALED CARRY LICENSE VIOLATION,2
February 2018,INTERFERENCE WITH PUBLIC OFFICER,3
February 2018,SEX OFFENSE,3
February 2018,CRIMINAL SEXUAL ASSAULT,4
February 2018,HOMICIDE,4
February 2019,SEX OFFENSE,1
February 2019,KIDNAPPING,1
February 2019,STALKING,1
February 2019,INTERFERENCE WITH PUBLIC OFFICER,3
February 2019,CRIMINAL SEXUAL ASSAULT,6
February 2020,INTERFERENCE WITH PUBLIC OFFICER,1
February 2020,CONCEALED CARRY LICENSE VIOLATION,1
February 2020,LIQUOR LAW VIOLATION,2
February 2020,HOMICIDE,2
February 2020,CRIMINAL SEXUAL ASSAULT,3
February 2020,SEX OFFENSE,8
July 2017,GAMBLING,1
July 2017,KIDNAPPING,1
July 2017,ARSON,1
July 2017,NON-CRIMINAL,1
July 2017,INTERFERENCE WITH PUBLIC OFFICER,2
July 2017,LIQUOR LAW VIOLATION,2
July 2017,SEX OFFENSE,4
July 2017,CRIMINAL SEXUAL ASSAULT,5
July 2017,HOMICIDE,9
July 2018,INTIMIDATION,1
July 2018,NON-CRIMINAL,1
July 2018,INTERFERENCE WITH PUBLIC OFFICER,1
July 2018,LIQUOR LAW VIOLATION,2
July 2018,OBSCENITY,2
July 2018,SEX OFFENSE,4
July 2018,CRIMINAL SEXUAL ASSAULT,5
July 2018,HOMICIDE,6
July 2019,LIQUOR LAW VIOLATION,1
July 2019,GAMBLING,1
July 2019,STALKING,1
July 2019,KIDNAPPING,1
July 2019,CONCEALED CARRY LICENSE VIOLATION,1
July 2019,ARSON,2
July 2019,SEX OFFENSE,4
July 2019,HOMICIDE,5
July 2019,CRIMINAL SEXUAL ASSAULT,9
July 2020,INTIMIDATION,1
July 2020,HUMAN TRAFFICKING,1
July 2020,CRIMINAL SEXUAL ASSAULT,2
July 2020,INTERFERENCE WITH PUBLIC OFFICER,2
July 2020,SEX OFFENSE,3
July 2020,LIQUOR LAW VIOLATION,4
July 2020,ARSON,7
July 2020,HOMICIDE,8
